 * Serving Flask app "run" (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: on
 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 204-796-878
101.89.239.230 - - [29/Jun/2019 00:22:44] "GET /static/assets/js/imagesloaded.pkgd.js HTTP/1.1" 200 -
101.89.239.230 - - [29/Jun/2019 00:22:44] "GET /static/assets/js/bootstrap.min.js HTTP/1.1" 200 -
101.89.239.230 - - [29/Jun/2019 00:22:44] "GET /static/assets/js/jquery.slicknav.min.js HTTP/1.1" 200 -
101.89.239.230 - - [29/Jun/2019 00:22:44] "GET /static/assets/js/wow.min.js HTTP/1.1" 200 -
101.89.239.230 - - [29/Jun/2019 00:22:44] "GET /static/assets/js/scrollspy.js HTTP/1.1" 200 -
101.89.239.230 - - [29/Jun/2019 00:22:44] "GET /static/assets/js/main.js HTTP/1.1" 200 -
61.158.152.43 - - [29/Jun/2019 00:23:47] "GET /static/resume/Working_Paper.pdf HTTP/1.1" 200 -
61.129.6.151 - - [29/Jun/2019 00:24:48] "GET /static/resume/Working_Paper.pdf HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 08:57:15] "GET /?nsukey=IQEAz1Co%2BZ15K7qYm0cXAEINwfc8UDAtKnTM%2BwfI%2FUKtk6zImWdt2VHBQemGsGLYJD4Tv6VO2yYxpq1WQuTksPYCXqbVn95ORBljpZXeBTIoFLTyWuigENHichtCdDgdmjRTlBBlnKiZytZSn3ELYDqO4jOYiwAL4EIyzUOeLcE%3D HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 08:57:22] "GET /?nsukey=IQEAz1Co%2BZ15K7qYm0cXAEINwfc8UDAtKnTM%2BwfI%2FUKtk6zImWdt2VHBQemGsGLYJD4Tv6VO2yYxpq1WQuTksPYCXqbVn95ORBljpZXeBTIoFLTyWuigENHichtCdDgdmjRTlBBlnKiZytZSn3ELYDqO4jOYiwAL4EIyzUOeLcE%3D HTTP/1.1" 200 -
61.129.6.251 - - [29/Jun/2019 08:58:15] "GET /?nsukey=IQEAz1Co%2BZ15K7qYm0cXAEINwfc8UDAtKnTM%2BwfI%2FUKtk6zImWdt2VHBQemGsGLYJD4Tv6VO2yYxpq1WQuTksPYCXqbVn95ORBljpZXeBTIoFLTyWuigENHichtCdDgdmjRTlBBlnKiZytZSn3ELYDqO4jOYiwAL4EIyzUOeLcE%3D HTTP/1.1" 200 -
61.129.6.251 - - [29/Jun/2019 08:58:17] "GET /static/assets/js/jquery.js HTTP/1.1" 200 -
61.129.6.251 - - [29/Jun/2019 08:58:19] "GET /static/assets/js/isotope.pkgd.js HTTP/1.1" 200 -
61.129.6.251 - - [29/Jun/2019 08:58:20] "GET /static/assets/js/jquery.magnific-popup.js HTTP/1.1" 200 -
61.129.6.251 - - [29/Jun/2019 08:58:23] "GET /static/assets/js/waypoints.min.js HTTP/1.1" 200 -
61.129.6.251 - - [29/Jun/2019 08:58:24] "GET /static/assets/js/circle-progress.min.js HTTP/1.1" 200 -
61.129.6.251 - - [29/Jun/2019 08:58:27] "GET /static/assets/js/typed.js HTTP/1.1" 200 -
61.129.6.251 - - [29/Jun/2019 08:58:30] "GET /static/assets/js/jquery.counterup.min.js HTTP/1.1" 200 -
61.129.6.251 - - [29/Jun/2019 08:58:31] "GET /static/assets/js/owl.carousel.min.js HTTP/1.1" 200 -
61.129.6.251 - - [29/Jun/2019 08:58:32] "GET /static/assets/js/imagesloaded.pkgd.js HTTP/1.1" 200 -
61.129.6.251 - - [29/Jun/2019 08:58:32] "GET /static/assets/js/bootstrap.min.js HTTP/1.1" 200 -
61.129.6.251 - - [29/Jun/2019 08:58:33] "GET /static/assets/js/jquery.slicknav.min.js HTTP/1.1" 200 -
61.129.6.251 - - [29/Jun/2019 08:58:33] "GET /static/assets/js/wow.min.js HTTP/1.1" 200 -
61.129.6.251 - - [29/Jun/2019 08:58:34] "GET /static/assets/js/scrollspy.js HTTP/1.1" 200 -
61.129.6.251 - - [29/Jun/2019 08:58:36] "GET /static/assets/js/main.js HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:31] "GET /sa_api/这本书真不错 HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:35] "GET / HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:35] "GET /static/assets/css/bootstrap.min.css HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:35] "GET /static/assets/css/font-awesome.min.css HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:35] "GET /static/assets/css/jquery.lineProgressbar.css HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:35] "GET /static/assets/css/owl.carousel.css HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:35] "GET /static/assets/css/magnific-popup.css HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:35] "GET /static/assets/css/slicknav.min.css HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:35] "GET /static/assets/css/animate.css HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:35] "GET /static/assets/css/style.css HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:35] "GET /static/assets/css/responsive.css HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:35] "GET /static/assets/js/jquery.js HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:35] "GET /static/assets/js/isotope.pkgd.js HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:35] "GET /static/assets/js/jquery.magnific-popup.js HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:35] "GET /static/assets/js/waypoints.min.js HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:35] "GET /static/assets/js/circle-progress.min.js HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:35] "GET /static/assets/js/typed.js HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:35] "GET /static/assets/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:35] "GET /static/assets/img/header-bg-1.jpg HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:36] "GET /static/assets/js/jquery.counterup.min.js HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:36] "GET /static/assets/js/owl.carousel.min.js HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:36] "GET /static/assets/js/imagesloaded.pkgd.js HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:36] "GET /static/assets/js/bootstrap.min.js HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:36] "GET /static/assets/js/jquery.slicknav.min.js HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:37] "GET /static/assets/js/wow.min.js HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:37] "GET /static/assets/js/scrollspy.js HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:37] "GET /static/assets/js/main.js HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:37] "GET /static/assets/img/m2.png HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:37] "GET /static/assets/img/project1.png HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:37] "GET /static/assets/img/project3.png HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:37] "GET /static/assets/img/project9.png HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:37] "GET /static/assets/img/contact-icon-2.png HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:38] "GET /static/assets/img/contact-icon-1.png HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:10:38] "GET /static/assets/img/contact-icon-3.png HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:12:28] "GET / HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:12:28] "GET /static/favorite_ico/favicon.ico HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:13:16] "GET / HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:13:16] "GET /static/favorite_ico/favicon.ico HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:13:18] "GET //sa_api/这本书真不错 HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:13:18] "GET /static/assets/img/bg51.jpg HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:13:29] "GET / HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:13:37] "GET / HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:13:37] "GET /static/favorite_ico/favicon.ico HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:13:42] "GET /sa_api/这本书真不错 HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:14:09] "GET /sa_api/这本书真不错 HTTP/1.1" 200 -
 * Detected change in '/home/flask_resume_restfulapi/my_resume_site/run.py', reloading
0.0017440000000004119
0.0017130000000005197
0.0017190000000084638
0.0017399999999980764
0.0017409999999955517
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 204-796-878
116.230.176.98 - - [29/Jun/2019 09:19:49] "GET /sa_api/这本书真不错 HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:19:55] "GET / HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:19:55] "GET /static/favorite_ico/favicon.ico HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:19:58] "GET /sa_api/这本书真不错 HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:26:46] "GET / HTTP/1.1" 200 -
116.230.176.98 - - [29/Jun/2019 09:26:46] "GET /static/favorite_ico/favicon.ico HTTP/1.1" 200 -
